City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,La Ronge,CA,48.45,scattered clouds,55.1001,-105.2842,Northland Motor Hotel
4,Paamiut,GL,33.8,broken clouds,61.994,-49.6678,Pistut
6,Bay Roberts,CA,44.33,few clouds,47.5999,-53.2648,Stonewall Inn
8,Thompson,CA,36.27,overcast clouds,55.7435,-97.8558,Burntwood Hotel
14,Shemursha,RU,37.15,clear sky,54.8866,47.5189,"Gostinitsa ""Shemursha"""
20,Bluff,NZ,42.8,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
27,Mehamn,NO,33.71,overcast clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
32,Leningradskiy,RU,34.47,overcast clouds,69.3833,178.4167,Gostinitsa
43,Mataura,NZ,42.48,light rain,-46.1927,168.8643,Ellie's Villa
50,Mazyr,BY,49.71,overcast clouds,52.0495,29.2456,Euro Mini-Hotel
52,Mar Del Plata,AR,48.94,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
55,Tasiilaq,GL,35.76,overcast clouds,65.6145,-37.6368,The Red House
57,Tiksi,RU,30.96,overcast clouds,71.6872,128.8694,Arktika
82,Betsiamites,CA,45.01,overcast clouds,48.9413,-68.646,Pourvoirie du lac des îles
88,Khatanga,RU,30.96,overcast clouds,71.9667,102.5,"""Khatanga"""
89,San Jeronimo,PE,49.24,overcast clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
97,Barrow,US,33.82,overcast clouds,71.2906,-156.7887,King Eider Inn
103,Athabasca,CA,43.43,overcast clouds,54.7169,-113.2854,Athabasca Lodge Motel
104,Deputatskiy,RU,29.37,overcast clouds,69.3,139.9,Baza Otdykha
116,Severo-Kurilsk,RU,44.51,overcast clouds,50.6789,156.125,Kak Doma
127,Maldonado,UY,44.22,clear sky,-34.6667,-54.9167,La Cimarrona
128,Timra,SE,38.88,overcast clouds,62.487,17.3257,Bergefors park
134,Nikolskoye,RU,39.79,broken clouds,59.7035,30.7861,Tourist House - Sablino
137,Berlevag,NO,33.75,overcast clouds,70.8578,29.0864,Kvitbrakka
142,Pevek,RU,32.9,overcast clouds,69.7008,170.3133,Severnoye Zoloto
146,Hofn,IS,47.43,overcast clouds,64.2539,-15.2082,Hótel Höfn
147,Iskateley,RU,29.62,scattered clouds,67.6803,53.1512,Hostel Agat
149,Tuktoyaktuk,CA,32.04,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
153,Sisimiut,GL,39.56,scattered clouds,66.9395,-53.6735,Hotel Sisimiut
155,Novosemeykino,RU,43.12,clear sky,53.3833,50.3667,Gostinitsa Na M5
158,Punta Arenas,CL,42.91,fog,-53.15,-70.9167,Hotel Hain
161,Castro,BR,42.08,clear sky,-24.7911,-50.0119,CHACARA BAILLY
168,Chapais,CA,44.76,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
169,Smithers,CA,49.19,light rain,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
178,Iqaluit,CA,28.13,light snow,63.7506,-68.5145,Frobisher Inn
184,Cochrane,CA,38.89,light rain,51.1834,-114.4687,Days Inn & Suites by Wyndham Cochrane
187,Vardo,NO,33.78,overcast clouds,70.3705,31.1107,Vardø Hotel AS
188,Hay River,CA,37.58,overcast clouds,60.8156,-115.7999,Ptarmigan Inn
189,Bilibino,RU,39.31,overcast clouds,68.0546,166.4372,Gostinitsa Severyanka
195,Waipawa,NZ,49.89,few clouds,-41.4122,175.5153,Tora Coastal Walk
197,Chuy,UY,48.67,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
213,Port Hardy,CA,48.52,few clouds,50.6996,-127.4199,Airport Inn-Port Hardy
217,Kargil,IN,46.38,overcast clouds,34.5667,76.1,Hotel Caravan Sarai Kargil
219,Dudinka,RU,38.62,overcast clouds,69.4058,86.1778,Hotel Viktoria
230,Lerwick,GB,48.2,overcast clouds,60.1545,-1.1494,The Lerwick Hotel
236,Pangnirtung,CA,28.67,overcast clouds,66.1451,-65.7125,Kilabuk Lodge
245,Nyrob,RU,33.96,light snow,60.733,56.7202,Gostinitsa
246,Mnogovershinnyy,RU,45.73,few clouds,53.9353,139.9242,Obshchezhitiye 14
247,Talnakh,RU,38.21,overcast clouds,69.4865,88.3972,Talnakh Hotel
248,Khandyga,RU,42.3,light rain,62.6667,135.6,Apel'sin
249,Dunedin,NZ,47.8,light rain,-45.8742,170.5036,Scenic Hotel Southern Cross
254,Nanortalik,GL,36.54,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
264,Tromso,NO,35.62,clear sky,69.6496,18.957,"Radisson Blu Hotel, Tromsø"
