City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Dikson,RU,73.5069,80.5464,30.34,79,100,9.35,overcast clouds
1,Bengkulu,ID,-3.8004,102.2655,81.54,72,62,0.94,broken clouds
2,Bredasdorp,ZA,-34.5322,20.0403,51.03,63,29,6.24,scattered clouds
3,La Ronge,CA,55.1001,-105.2842,48.45,29,40,14.97,scattered clouds
4,Paamiut,GL,61.994,-49.6678,33.8,86,78,3.53,broken clouds
5,Sinegorye,RU,62.0788,150.477,38.12,87,100,3.91,light rain
6,Bay Roberts,CA,47.5999,-53.2648,44.33,81,14,5.01,few clouds
7,Kalmunai,LK,7.4167,81.8167,81.37,71,100,9.48,overcast clouds
8,Thompson,CA,55.7435,-97.8558,36.27,66,97,10.6,overcast clouds
9,Jalu,LY,29.0331,21.5482,68.99,63,0,14.14,clear sky
10,Rikitea,PF,-23.1203,-134.9692,76.24,80,100,11.56,moderate rain
11,Orichi,RU,58.4036,49.0572,35.98,89,100,6.71,light rain
12,Pandan,PH,14.0453,124.1694,87.57,65,44,5.73,scattered clouds
13,Jamestown,US,42.097,-79.2353,64.04,77,75,4.61,broken clouds
14,Shemursha,RU,54.8866,47.5189,37.15,90,9,5.75,clear sky
15,Ushuaia,AR,-54.8,-68.3,51.46,66,0,4.61,clear sky
16,Palmer,US,42.1584,-72.3287,56.39,86,20,0.0,few clouds
17,Kapaa,US,22.0752,-159.319,81.12,88,100,13.8,light rain
18,Lebu,CL,-37.6167,-73.65,55.65,94,100,29.35,moderate rain
19,Poya,NC,-21.35,165.15,83.5,62,14,11.83,few clouds
20,Bluff,NZ,-46.6,168.3333,42.8,65,83,22.82,broken clouds
21,Kieta,PG,-6.2167,155.6333,84.88,68,12,5.82,light rain
22,Avarua,CK,-21.2078,-159.775,77.05,88,75,6.91,light rain
23,College,US,64.8569,-147.8028,68.0,32,75,3.44,broken clouds
24,Port Macquarie,AU,-31.4333,152.9167,62.89,94,40,8.05,scattered clouds
25,Margate,GB,51.3813,1.3862,54.7,87,100,8.99,overcast clouds
